,categoryName,createdOn,id,name,price,location.locationDescription,location.locationLatitude,location.locationLongitude
0,For Sale - House,2024-08-06T07:56:17,7457D719-B0A1-5788-8841-0B7A8CAD362D,"House On Sale at Samakhusi, Town Planning",39900000,"Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल",27.7313,85.319099
1,For Sale - House,2024-08-06T07:54:04,97D0D99E-E77A-CB1F-9CC0-F3707DE85A7B,"New House On Sale at Samakhusi, Near Chowk",55000000,"Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल",27.7313,85.319099
2,For Sale - House,2024-08-06T07:53:05,06005955-E397-F74D-70DF-5EA1424FC88C,House on Sale -Imadol sethi Pakha ,49000000,"Imadol (Mahalaxmi), Lalitpur",27.656401,85.342003
3,For Sale - House,2024-08-06T07:50:36,AE6A9E1B-48DE-6AD1-17E1-7E8DB45DDCAD,Commercial Building For Sale at Samakhusi,160000000,"Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल",27.7313,85.319099
4,For Sale - House,2024-08-06T07:48:20,5A7384A6-5852-B529-FA0F-BD78EAD5295B,"Brand New House On Sale at Tokha, Dhaneshwor",16000000,"टोखा चण्डेश्वरि, Tokha-02, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 40607, नेपाल",27.7789,85.331703
5,For Sale - House,2024-08-06T07:45:37,B2792969-B466-7A7C-A6A4-C326584BB262,"House For Sale at Samakhusi, Near Chowk",28000000,"Tilintar, बसुन्धरा चौकी, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 21775, नेपाल",27.7313,85.319099
6,For Sale - House,2024-08-06T07:43:49,2D9C5F19-5205-4776-60FC-04604E469689,"House On Sale at Basundhara, Dhapasi",33000000,"212 Dhapasi Marg, नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल",27.743191,85.334007
7,For Sale - House,2024-08-06T07:40:22,5A8BBAB0-CD89-4445-BE44-D1B7488F7338,"House On Sale at Basundhara, Dhapasi",20000000,"नारायण गोपाल चोक, बसुन्धरा, Kathmandu-03, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44606, नेपाल",27.7425,85.334297
8,For Sale - House,2024-08-06T07:38:22,A22F20AC-D38F-406B-4F6C-ACEE79A5A656,Beautiful House For Sale at Tokha,23500000,"NH40, टोखा चण्डेश्वरि, Tokha-02, टोखा सरस्वती, टोखा नगरपालिका, काठमाडौं, बाग्मती प्रदेश, 44608, नेपाल",27.7701,85.329102
9,For Sale - House,2024-08-06T07:36:12,10B9ADB0-B00E-D242-9F99-D6386967ACE9,House for sale At Bistachap,9500000,"Godawari - Bisankhunarayan Road, Bisankhunarayan, Godawari-02, Godawari, ललितपुर, बाग्मती प्रदेश, 44709, नेपाल",27.6091,85.371803
